sale_id,transaction_id,line_number,customer_id,product_id,transaction_date,quantity,unit_price,discount_amount,tax_amount,payment_method,channel,store_id
STG-0000076,TXN-0000045,1,CUST-00146,PROD-0095,2023-10-17,1,11.02,0.0,1.07,Credit Card,Online,
STG-0000077,TXN-0000046,1,CUST-00321,PROD-0018,2022-05-03,2,1247.02,0.0,171.59,Debit Card,Online,
STG-0000078,TXN-0000047,1,CUST-00037,PROD-0095,2023-07-27,1,11.27,0.0,0.77,Debit Card,Online,
STG-0000079,TXN-0000048,1,CUST-00164,PROD-0077,2023-12-24,1,85.18,8.52,6.59,PayPal,In-Store,STORE-009
STG-0000080,TXN-0000049,1,CUST-00161,PROD-0012,2022-08-18,1,1390.65,139.07,94.19,Debit Card,In-Store,STORE-010
STG-0000081,TXN-0000050,1,CUST-00056,PROD-0039,2023-11-25,3,33.06,0.0,9.14,Cash,In-Store,STORE-001
STG-0000082,TXN-0000050,2,CUST-00056,PROD-0079,2023-11-25,1,59.48,5.95,3.62,Cash,In-Store,STORE-001
STG-0000083,TXN-0000051,1,CUST-00478,PROD-0012,2024-08-30,2,1415.17,0.0,241.09,Apple Pay,In-Store,STORE-009
STG-0000084,TXN-0000052,1,CUST-00339,PROD-0065,2023-08-17,3,116.8,17.52,25.77,Credit Card,Mobile App,
STG-0000085,TXN-0000053,1,CUST-00039,PROD-0043,2024-05-12,1,163.29,0.0,10.96,Credit Card,Online,
STG-0000086,TXN-0000053,2,CUST-00039,PROD-0071,2024-05-12,1,86.09,8.61,7.47,Credit Card,Online,
STG-0000087,TXN-0000054,1,CUST-00218,PROD-0008,2022-09-01,1,405.38,20.27,32.63,Credit Card,In-Store,STORE-007
STG-0000088,TXN-0000055,1,CUST-00261,PROD-0091,2024-07-11,1,35.48,3.55,2.3,Credit Card,Online,
STG-0000089,TXN-0000055,2,CUST-00261,PROD-0098,2024-07-11,2,49.93,0.0,7.57,Credit Card,Online,
STG-0000090,TXN-0000056,1,CUST-00223,PROD-0098,2023-11-21,2,50.87,0.0,10.01,Credit Card,Online,
STG-0000091,TXN-0000056,2,CUST-00223,PROD-0082,2023-11-21,2,46.92,14.08,7.32,Credit Card,Online,
STG-0000092,TXN-0000057,1,CUST-00165,PROD-0022,2023-05-03,1,110.8,0.0,9.29,Debit Card,Mobile App,
STG-0000093,TXN-0000057,2,CUST-00165,PROD-0083,2023-05-03,4,38.87,0.0,13.98,Debit Card,Mobile App,
STG-0000094,TXN-0000058,1,CUST-00158,PROD-0005,2022-06-17,1,961.83,48.09,64.06,Debit Card,In-Store,STORE-009
STG-0000095,TXN-0000058,2,CUST-00158,PROD-0004,2022-06-17,2,864.43,86.44,102.12,Debit Card,In-Store,STORE-009
STG-0000096,TXN-0000058,3,CUST-00158,PROD-0040,2022-06-17,5,76.63,0.0,32.87,Debit Card,In-Store,STORE-009
STG-0000097,TXN-0000059,1,CUST-00329,PROD-0057,2023-03-01,1,50.42,0.0,4.35,Credit Card,In-Store,STORE-010
STG-0000098,TXN-0000060,1,CUST-00292,PROD-0084,2023-12-10,2,37.77,0.0,6.3,Credit Card,Mobile App,
STG-0000099,TXN-0000061,1,CUST-00164,PROD-0077,2023-03-05,2,84.35,8.44,13.72,Debit Card,In-Store,STORE-001
STG-0000100,TXN-0000062,1,CUST-00164,PROD-0053,2022-11-04,1,30.12,3.01,2.15,Credit Card,Online,
STG-0000101,TXN-0000063,1,CUST-00309,PROD-0036,2024-07-31,1,30.76,1.54,2.49,Credit Card,In-Store,STORE-003
STG-0000102,TXN-0000064,1,CUST-00458,PROD-0100,2023-12-06,1,39.95,4.0,2.46,Debit Card,Mobile App,
STG-0000103,TXN-0000064,2,CUST-00458,PROD-0052,2023-12-06,1,36.14,3.61,2.65,Debit Card,Mobile App,
STG-0000104,TXN-0000065,1,CUST-00071,PROD-0054,2023-03-19,1,53.52,0.0,4.3,PayPal,In-Store,STORE-010
STG-0000105,TXN-0000065,2,CUST-00071,PROD-0026,2023-03-19,1,91.57,4.58,8.17,PayPal,In-Store,STORE-010
STG-0000106,TXN-0000066,1,CUST-00286,PROD-0085,2022-09-11,1,36.32,1.82,3.27,Debit Card,In-Store,STORE-008
STG-0000107,TXN-0000066,2,CUST-00286,PROD-0078,2022-09-11,2,15.6,4.68,1.63,Debit Card,In-Store,STORE-008
STG-0000108,TXN-0000067,1,CUST-00110,PROD-0032,2024-06-30,2,87.59,0.0,16.94,Credit Card,In-Store,STORE-004
STG-0000109,TXN-0000067,2,CUST-00110,PROD-0015,2024-06-30,1,816.01,40.8,49.71,Credit Card,In-Store,STORE-004
STG-0000110,TXN-0000068,1,CUST-00306,PROD-0077,2022-07-19,1,85.54,4.28,6.06,Cash,In-Store,STORE-010
STG-0000111,TXN-0000068,2,CUST-00306,PROD-0074,2022-07-19,3,143.19,0.0,32.24,Cash,In-Store,STORE-010
STG-0000112,TXN-0000068,3,CUST-00306,PROD-0036,2022-07-19,1,30.78,0.0,2.92,Cash,In-Store,STORE-010
STG-0000113,TXN-0000069,1,CUST-00226,PROD-0096,2023-05-17,1,65.27,0.0,5.6,Debit Card,Online,
STG-0000114,TXN-0000070,1,CUST-00091,PROD-0025,2022-01-27,1,344.29,0.0,22.22,Cash,In-Store,STORE-002
STG-0000115,TXN-0000071,1,CUST-00226,PROD-0052,2022-07-12,1,36.97,0.0,3.09,Debit Card,Online,
STG-0000116,TXN-0000071,2,CUST-00226,PROD-0096,2022-07-12,1,65.26,6.53,3.87,Debit Card,Online,
STG-0000117,TXN-0000072,1,CUST-00466,PROD-0051,2022-03-23,2,177.35,35.47,28.45,Debit Card,Online,
STG-0000118,TXN-0000073,1,CUST-00478,PROD-0073,2023-05-23,1,155.76,15.58,11.78,Debit Card,In-Store,STORE-008
STG-0000119,TXN-0000073,2,CUST-00478,PROD-0049,2023-05-23,3,238.05,0.0,61.69,Debit Card,In-Store,STORE-008
STG-0000120,TXN-0000074,1,CUST-00364,PROD-0036,2024-05-08,1,29.27,0.0,1.78,Debit Card,In-Store,STORE-010
STG-0000121,TXN-0000075,1,CUST-00465,PROD-0099,2024-01-12,1,79.28,11.89,5.66,PayPal,Online,
STG-0000122,TXN-0000076,1,CUST-00237,PROD-0050,2023-07-27,4,177.38,0.0,42.61,Credit Card,Online,
STG-0000123,TXN-0000076,2,CUST-00237,PROD-0092,2023-07-27,2,25.02,0.0,3.84,Credit Card,Online,
STG-0000124,TXN-0000077,1,CUST-00348,PROD-0033,2022-08-09,1,42.54,2.13,3.62,Apple Pay,In-Store,STORE-008
STG-0000125,TXN-0000077,2,CUST-00348,PROD-0031,2022-08-09,2,54.1,0.0,7.07,Apple Pay,In-Store,STORE-008
STG-0000126,TXN-0000078,1,CUST-00110,PROD-0006,2023-05-05,1,994.16,0.0,87.85,Credit Card,Mobile App,
STG-0000127,TXN-0000079,1,CUST-00256,PROD-0074,2023-08-06,1,143.48,0.0,9.5,Credit Card,In-Store,STORE-004
STG-0000128,TXN-0000079,2,CUST-00256,PROD-0045,2023-08-06,1,101.87,10.19,7.05,Credit Card,In-Store,STORE-004
STG-0000129,TXN-0000080,1,CUST-00123,PROD-0090,2024-05-04,2,19.33,0.0,2.89,PayPal,Online,
STG-0000130,TXN-0000081,1,CUST-00117,PROD-0056,2022-02-09,3,47.31,7.1,12.12,Credit Card,In-Store,STORE-007
STG-0000131,TXN-0000082,1,CUST-00348,PROD-0098,2024-09-03,3,52.08,7.81,12.97,Credit Card,In-Store,STORE-007
STG-0000132,TXN-0000083,1,CUST-00174,PROD-0028,2023-11-06,1,137.55,6.88,8.3,PayPal,Online,
STG-0000133,TXN-0000084,1,CUST-00165,PROD-0090,2024-10-01,1,19.93,1.0,1.35,Cash,Online,
STG-0000134,TXN-0000085,1,CUST-00027,PROD-0084,2023-05-19,1,37.87,3.79,3.31,Credit Card,Online,
STG-0000135,TXN-0000085,2,CUST-00027,PROD-0089,2023-05-19,1,16.77,1.68,1.21,Credit Card,Online,
STG-0000136,TXN-0000085,3,CUST-00027,PROD-0081,2023-05-19,2,39.23,3.92,5.55,Credit Card,Online,
STG-0000137,TXN-0000086,1,CUST-00491,PROD-0071,2023-09-07,1,86.62,4.33,6.64,Credit Card,In-Store,STORE-007
STG-0000138,TXN-0000086,2,CUST-00491,PROD-0022,2023-09-07,1,112.01,0.0,8.0,Credit Card,In-Store,STORE-007
STG-0000139,TXN-0000087,1,CUST-00465,PROD-0006,2022-10-04,5,956.21,0.0,364.12,Apple Pay,In-Store,STORE-005
STG-0000140,TXN-0000087,2,CUST-00465,PROD-0094,2022-10-04,1,28.57,0.0,2.35,Apple Pay,In-Store,STORE-005
STG-0000141,TXN-0000088,1,CUST-00153,PROD-0070,2023-05-23,3,444.12,66.62,111.09,Debit Card,In-Store,STORE-005
STG-0000142,TXN-0000089,1,CUST-00249,PROD-0086,2024-08-10,1,22.77,0.0,1.9,PayPal,Online,
STG-0000143,TXN-0000089,2,CUST-00249,PROD-0056,2024-08-10,1,45.33,0.0,3.87,PayPal,Online,
STG-0000144,TXN-0000089,3,CUST-00249,PROD-0021,2024-08-10,2,169.97,0.0,24.69,PayPal,Online,
STG-0000145,TXN-0000090,1,CUST-00233,PROD-0022,2022-02-23,1,109.03,5.45,7.63,PayPal,In-Store,STORE-004
STG-0000146,TXN-0000090,2,CUST-00233,PROD-0077,2022-02-23,1,85.59,0.0,5.88,PayPal,In-Store,STORE-004
STG-0000147,TXN-0000090,3,CUST-00233,PROD-0052,2022-02-23,1,37.33,1.87,3.45,PayPal,In-Store,STORE-004
STG-0000148,TXN-0000091,1,CUST-00368,PROD-0030,2024-09-26,1,204.93,0.0,17.37,Credit Card,In-Store,STORE-005
STG-0000149,TXN-0000092,1,CUST-00054,PROD-0057,2023-03-16,2,50.95,10.19,7.49,Cash,Mobile App,
STG-0000150,TXN-0000093,1,CUST-00226,PROD-0011,2023-05-19,3,1365.01,409.5,293.49,Debit Card,Online,
STG-0000151,TXN-0000094,1,CUST-00465,PROD-0065,2024-05-28,1,111.99,0.0,10.93,Credit Card,In-Store,STORE-010
STG-0000152,TXN-0000094,2,CUST-00465,PROD-0036,2024-05-28,1,29.21,2.92,2.39,Credit Card,In-Store,STORE-010
STG-0000153,TXN-0000094,3,CUST-00465,PROD-0086,2024-05-28,1,22.1,0.0,1.61,Credit Card,In-Store,STORE-010
STG-0000154,TXN-0000095,1,CUST-00332,PROD-0039,2024-06-02,1,32.48,0.0,2.26,Credit Card,In-Store,STORE-006
STG-0000155,TXN-0000096,1,CUST-00284,PROD-0054,2022-03-03,2,52.52,0.0,7.99,Debit Card,In-Store,STORE-004
STG-0000156,TXN-0000097,1,CUST-00253,PROD-0003,2024-03-05,2,391.56,78.31,57.94,Cash,Mobile App,
STG-0000157,TXN-0000098,1,CUST-00097,PROD-0013,2022-03-28,1,1445.5,0.0,94.51,Cash,Mobile App,
STG-0000158,TXN-0000098,2,CUST-00097,PROD-0048,2022-03-28,2,235.01,0.0,34.14,Cash,Mobile App,
STG-0000159,TXN-0000099,1,CUST-00115,PROD-0056,2022-07-24,1,45.53,0.0,3.19,Credit Card,Mobile App,
STG-0000160,TXN-0000100,1,CUST-00050,PROD-0068,2024-02-11,1,447.19,44.72,29.69,Credit Card,Online,
STG-0000161,TXN-0000100,2,CUST-00050,PROD-0038,2024-02-11,1,67.85,3.39,5.43,Credit Card,Online,
STG-0000162,TXN-0000101,1,CUST-00309,PROD-0078,2022-04-10,1,15.73,0.0,1.43,Apple Pay,Online,
STG-0000163,TXN-0000102,1,CUST-00041,PROD-0090,2022-04-16,3,19.96,2.99,5.53,Debit Card,Online,
STG-0000164,TXN-0000103,1,CUST-00283,PROD-0084,2022-08-06,1,37.11,0.0,2.66,Apple Pay,In-Store,STORE-002
STG-0000165,TXN-0000104,1,CUST-00307,PROD-0007,2022-08-24,1,753.45,0.0,50.25,Debit Card,In-Store,STORE-006
STG-0000166,TXN-0000105,1,CUST-00058,PROD-0056,2022-06-08,1,45.84,0.0,4.47,Credit Card,In-Store,STORE-002
STG-0000167,TXN-0000105,2,CUST-00058,PROD-0019,2022-06-08,1,927.92,92.79,67.61,Credit Card,In-Store,STORE-002
STG-0000168,TXN-0000106,1,CUST-00054,PROD-0034,2024-03-23,1,52.93,0.0,4.74,Credit Card,Online,
STG-0000169,TXN-0000106,2,CUST-00054,PROD-0099,2024-03-23,1,78.51,0.0,5.25,Credit Card,Online,
STG-0000170,TXN-0000106,3,CUST-00054,PROD-0024,2024-03-23,1,120.45,18.07,9.68,Credit Card,Online,
STG-0000171,TXN-0000107,1,CUST-00452,PROD-0058,2022-09-11,4,38.68,0.0,12.94,Debit Card,Mobile App,
STG-0000172,TXN-0000108,1,CUST-00369,PROD-0070,2023-01-01,1,437.96,65.69,29.51,Debit Card,Mobile App,
STG-0000173,TXN-0000109,1,CUST-00045,PROD-0078,2022-05-23,1,15.75,1.58,1.33,Debit Card,In-Store,STORE-003
STG-0000174,TXN-0000110,1,CUST-00222,PROD-0063,2023-07-14,2,46.82,9.36,7.07,Apple Pay,In-Store,STORE-008
STG-0000175,TXN-0000111,1,CUST-00240,PROD-0002,2023-07-09,1,903.28,45.16,64.86,PayPal,In-Store,STORE-007
STG-0000176,TXN-0000111,2,CUST-00240,PROD-0041,2023-07-09,1,158.91,0.0,11.06,PayPal,In-Store,STORE-007
STG-0000177,TXN-0000112,1,CUST-00465,PROD-0060,2023-06-10,2,33.5,6.7,4.61,Cash,Mobile App,
STG-0000178,TXN-0000112,2,CUST-00465,PROD-0016,2023-06-10,1,1447.53,0.0,123.73,Cash,Mobile App,
STG-0000179,TXN-0000113,1,CUST-00121,PROD-0043,2022-05-07,1,156.54,0.0,10.56,Credit Card,Online,
STG-0000180,TXN-0000114,1,CUST-00120,PROD-0006,2023-10-04,1,956.59,0.0,70.48,Cash,Online,
STG-0000181,TXN-0000115,1,CUST-00401,PROD-0014,2023-06-18,1,1418.99,141.9,125.24,Debit Card,Mobile App,
STG-0000182,TXN-0000116,1,CUST-00382,PROD-0048,2022-04-19,1,235.04,0.0,14.22,Debit Card,In-Store,STORE-004
STG-0000183,TXN-0000117,1,CUST-00363,PROD-0022,2024-02-05,1,112.01,0.0,10.17,Apple Pay,In-Store,STORE-004
STG-0000184,TXN-0000117,2,CUST-00363,PROD-0064,2024-02-05,5,19.05,0.0,8.31,Apple Pay,In-Store,STORE-004
STG-0000185,TXN-0000117,3,CUST-00363,PROD-0077,2024-02-05,1,84.35,4.22,4.94,Apple Pay,In-Store,STORE-004
STG-0000186,TXN-0000118,1,CUST-00233,PROD-0086,2023-09-15,1,21.97,1.1,2.06,Debit Card,In-Store,STORE-004
STG-0000187,TXN-0000118,2,CUST-00233,PROD-0030,2023-09-15,1,205.3,0.0,18.84,Debit Card,In-Store,STORE-004
STG-0000188,TXN-0000118,3,CUST-00233,PROD-0026,2023-09-15,1,92.61,0.0,9.15,Debit Card,In-Store,STORE-004
STG-0000189,TXN-0000119,1,CUST-00344,PROD-0019,2024-04-26,1,944.52,0.0,82.59,Credit Card,Online,
STG-0000190,TXN-0000120,1,CUST-00491,PROD-0072,2022-04-07,1,303.83,0.0,19.53,Credit Card,Online,
STG-0000191,TXN-0000121,1,CUST-00142,PROD-0079,2024-03-26,3,59.12,8.87,10.25,Debit Card,Online,
STG-0000192,TXN-0000122,1,CUST-00364,PROD-0006,2023-10-09,1,975.62,0.0,80.65,Credit Card,In-Store,STORE-008
STG-0000193,TXN-0000123,1,CUST-00146,PROD-0095,2024-09-24,3,11.32,0.0,2.76,PayPal,Online,
STG-0000194,TXN-0000124,1,CUST-00415,PROD-0009,2023-09-08,1,737.28,36.86,66.76,Debit Card,Online,
STG-0000195,TXN-0000125,1,CUST-00164,PROD-0062,2024-12-15,5,108.38,54.19,32.97,Credit Card,Online,
STG-0000196,TXN-0000126,1,CUST-00374,PROD-0079,2022-08-29,1,60.17,0.0,3.77,Credit Card,In-Store,STORE-007
STG-0000197,TXN-0000126,2,CUST-00374,PROD-0091,2022-08-29,1,35.29,3.53,2.16,Credit Card,In-Store,STORE-007
STG-0000198,TXN-0000127,1,CUST-00050,PROD-0079,2024-05-01,1,60.24,3.01,4.02,PayPal,Online,
STG-0000199,TXN-0000128,1,CUST-00277,PROD-0086,2022-05-19,4,22.37,8.95,6.34,Apple Pay,In-Store,STORE-004
STG-0000200,TXN-0000129,1,CUST-00164,PROD-0042,2022-11-18,2,105.27,0.0,17.83,PayPal,Online,
STG-0000201,TXN-0000130,1,CUST-00368,PROD-0087,2023-11-28,1,18.79,0.0,1.3,Credit Card,Mobile App,
STG-0000202,TXN-0000131,1,CUST-00092,PROD-0014,2022-09-05,1,1432.05,71.6,122.23,Debit Card,Online,
STG-0000203,TXN-0000132,1,CUST-00254,PROD-0092,2022-06-29,1,24.27,2.43,1.79,Cash,Online,
STG-0000204,TXN-0000132,2,CUST-00254,PROD-0062,2022-06-29,2,111.33,0.0,18.7,Cash,Online,
STG-0000205,TXN-0000133,1,CUST-00464,PROD-0087,2023-02-10,1,19.52,0.98,1.73,Apple Pay,Online,
STG-0000206,TXN-0000133,2,CUST-00464,PROD-0054,2023-02-10,1,52.22,0.0,3.92,Apple Pay,Online,
STG-0000207,TXN-0000133,3,CUST-00464,PROD-0073,2023-02-10,2,152.86,0.0,23.88,Apple Pay,Online,
STG-0000208,TXN-0000134,1,CUST-00001,PROD-0060,2022-12-20,5,33.98,0.0,12.24,Credit Card,In-Store,STORE-001
STG-0000209,TXN-0000134,2,CUST-00001,PROD-0080,2022-12-20,3,16.14,0.0,4.5,Credit Card,In-Store,STORE-001
STG-0000210,TXN-0000134,3,CUST-00001,PROD-0015,2022-12-20,1,806.83,40.34,63.05,Credit Card,In-Store,STORE-001
STG-0000211,TXN-0000135,1,CUST-00073,PROD-0010,2023-01-07,3,976.41,0.0,205.78,Credit Card,In-Store,STORE-003
